<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.RTS-12.18;1;27.09.2018;11:56:00;115190;115300;115170;115290;583
SPFB.RTS-12.18;1;27.09.2018;11:57:00;115280;115660;115280;115500;4960
SPFB.RTS-12.18;1;27.09.2018;11:58:00;115490;115640;115470;115600;1886
SPFB.RTS-12.18;1;27.09.2018;11:59:00;115600;115780;115600;115730;4021
SPFB.RTS-12.18;1;27.09.2018;12:00:00;115720;115790;115680;115790;1203
SPFB.RTS-12.18;1;27.09.2018;12:01:00;115790;115790;115660;115740;2392
SPFB.RTS-12.18;1;27.09.2018;12:02:00;115730;115920;115700;115890;3927
SPFB.RTS-12.18;1;27.09.2018;12:03:00;115890;115970;115870;115870;3002
SPFB.RTS-12.18;1;27.09.2018;12:04:00;115880;116060;115850;116050;2938
SPFB.RTS-12.18;1;27.09.2018;12:05:00;116050;116100;115960;115990;3299
SPFB.RTS-12.18;1;27.09.2018;12:06:00;115990;116050;115940;115990;813
SPFB.RTS-12.18;1;27.09.2018;12:07:00;115980;115990;115930;115940;515
SPFB.RTS-12.18;1;27.09.2018;12:08:00;115950;115950;115880;115930;745
SPFB.RTS-12.18;1;27.09.2018;12:09:00;115950;115950;115870;115880;551
SPFB.RTS-12.18;1;27.09.2018;12:10:00;115870;115900;115800;115800;1103
SPFB.RTS-12.18;1;27.09.2018;12:11:00;115800;115890;115790;115840;785
SPFB.RTS-12.18;1;27.09.2018;12:12:00;115850;115880;115820;115820;306
SPFB.RTS-12.18;1;27.09.2018;12:13:00;115830;115860;115770;115770;1520
SPFB.RTS-12.18;1;27.09.2018;12:14:00;115790;115850;115740;115830;678
SPFB.RTS-12.18;1;27.09.2018;12:15:00;115850;115900;115830;115900;497
SPFB.RTS-12.18;1;27.09.2018;12:16:00;115900;115940;115880;115920;681
SPFB.RTS-12.18;1;27.09.2018;12:17:00;115910;115940;115880;115930;553
SPFB.RTS-12.18;1;27.09.2018;12:18:00;115920;115950;115870;115870;990
SPFB.RTS-12.18;1;27.09.2018;12:19:00;115870;115900;115820;115850;967
SPFB.RTS-12.18;1;27.09.2018;12:20:00;115870;115900;115850;115860;561
SPFB.RTS-12.18;1;27.09.2018;12:21:00;115870;115900;115860;115880;289
SPFB.RTS-12.18;1;27.09.2018;12:22:00;115900;115910;115780;115840;755
SPFB.RTS-12.18;1;27.09.2018;12:23:00;115850;115930;115830;115910;480
SPFB.RTS-12.18;1;27.09.2018;12:24:00;115900;115950;115900;115930;412
SPFB.RTS-12.18;1;27.09.2018;12:25:00;115930;115970;115920;115970;377
SPFB.RTS-12.18;1;27.09.2018;12:26:00;115960;116020;115900;115960;1286
SPFB.RTS-12.18;1;27.09.2018;12:27:00;115960;116040;115920;115950;445
SPFB.RTS-12.18;1;27.09.2018;12:28:00;115950;115950;115870;115900;375
SPFB.RTS-12.18;1;27.09.2018;12:29:00;115890;116010;115880;116010;403
SPFB.RTS-12.18;1;27.09.2018;12:30:00;115990;116030;115980;116010;437
SPFB.RTS-12.18;1;27.09.2018;12:31:00;116030;116030;115970;115970;499
SPFB.RTS-12.18;1;27.09.2018;12:32:00;115970;116030;115970;116030;468
SPFB.RTS-12.18;1;27.09.2018;12:33:00;116030;116250;116030;116140;5506
SPFB.RTS-12.18;1;27.09.2018;12:34:00;116150;116160;116080;116110;2063
SPFB.RTS-12.18;1;27.09.2018;12:35:00;116110;116180;116110;116160;1106
SPFB.RTS-12.18;1;27.09.2018;12:36:00;116160;116210;116090;116090;2284
SPFB.RTS-12.18;1;27.09.2018;12:37:00;116090;116150;116020;116020;1078
SPFB.RTS-12.18;1;27.09.2018;12:38:00;116020;116080;116010;116030;687
SPFB.RTS-12.18;1;27.09.2018;12:39:00;116040;116080;116030;116060;418
SPFB.RTS-12.18;1;27.09.2018;12:40:00;116060;116140;116010;116010;668
SPFB.RTS-12.18;1;27.09.2018;12:41:00;116010;116060;116010;116010;380
SPFB.RTS-12.18;1;27.09.2018;12:42:00;116010;116030;116000;116000;180
SPFB.RTS-12.18;1;27.09.2018;12:43:00;116000;116060;115980;116050;431
SPFB.RTS-12.18;1;27.09.2018;12:44:00;116040;116040;115990;116020;357
SPFB.RTS-12.18;1;27.09.2018;12:45:00;116020;116050;115980;115980;451
SPFB.RTS-12.18;1;27.09.2018;12:46:00;115970;116000;115920;115980;1176
SPFB.RTS-12.18;1;27.09.2018;12:47:00;115990;116040;115960;116030;613
SPFB.RTS-12.18;1;27.09.2018;12:48:00;116020;116030;115920;116010;631
SPFB.RTS-12.18;1;27.09.2018;12:49:00;116010;116090;116000;116060;503
SPFB.RTS-12.18;1;27.09.2018;12:50:00;116060;116080;116000;116000;275
SPFB.RTS-12.18;1;27.09.2018;12:51:00;116010;116060;115990;116000;453
SPFB.RTS-12.18;1;27.09.2018;12:52:00;115990;116040;115990;116010;427
SPFB.RTS-12.18;1;27.09.2018;12:53:00;116010;116020;115890;115910;625
SPFB.RTS-12.18;1;27.09.2018;12:54:00;115910;115970;115890;115970;930
SPFB.RTS-12.18;1;27.09.2018;12:55:00;115970;115970;115910;115940;180
SPFB.RTS-12.18;1;27.09.2018;12:56:00;115930;116000;115930;115980;323
SPFB.RTS-12.18;1;27.09.2018;12:57:00;115990;116050;115980;116030;471
SPFB.RTS-12.18;1;27.09.2018;12:58:00;116030;116050;116000;116010;272
SPFB.RTS-12.18;1;27.09.2018;12:59:00;116020;116070;115990;116010;327
SPFB.RTS-12.18;1;27.09.2018;13:00:00;116010;116070;115980;116050;433
SPFB.RTS-12.18;1;27.09.2018;13:01:00;116060;116060;115990;116050;596
SPFB.RTS-12.18;1;27.09.2018;13:02:00;116030;116080;116030;116050;209
SPFB.RTS-12.18;1;27.09.2018;13:03:00;116040;116050;116030;116030;87
SPFB.RTS-12.18;1;27.09.2018;13:04:00;116030;116120;116030;116100;580
SPFB.RTS-12.18;1;27.09.2018;13:05:00;116090;116100;116040;116050;210
SPFB.RTS-12.18;1;27.09.2018;13:06:00;116060;116120;116050;116090;351
SPFB.RTS-12.18;1;27.09.2018;13:07:00;116100;116120;116090;116110;198
SPFB.RTS-12.18;1;27.09.2018;13:08:00;116120;116140;116090;116130;258
SPFB.RTS-12.18;1;27.09.2018;13:09:00;116120;116120;116080;116080;164
SPFB.RTS-12.18;1;27.09.2018;13:10:00;116080;116150;116080;116130;354
SPFB.RTS-12.18;1;27.09.2018;13:11:00;116130;116150;116090;116110;238
SPFB.RTS-12.18;1;27.09.2018;13:12:00;116120;116120;116060;116090;198
